player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Jhon Arias,Colombia,Colombia,MF,28-273,1997,Palmeiras,1,1,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.02,0.0,0.0,,89.0,98.9,89.0,0,0,,0,3.0,2.0,1.0,1.0,1.01,-88.99,0.0,1.0,0.0,0.0,3.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Jhon Córdoba,Colombia,Colombia,FW,33-041,1993,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhon Lucumí,Colombia,Colombia,DF,27-360,1998,Bologna,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,3.0,3.0,1.0,2.0,2.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Johan Mojica,Colombia,Colombia,DF,33-304,1992,Mallorca,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,90.0,100.0,90.0,1,0,,0,3.0,3.0,1.0,2.0,2.0,,0.0,1.0,1.0,0.0,2.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Jorge Carrascal,Colombia,Colombia,"FW,MF",28-027,1998,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Camilo Portilla,Colombia,Colombia,MF,27-282,1998,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Quintero,Colombia,Colombia,"FW,MF",33-154,1993,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Castaño,Colombia,Colombia,MF,25-265,2000,River Plate,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1.0,1.1,,0,1,1.0,0,3.0,1.0,0.0,1.0,90.0,88.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Luis Díaz,Colombia,Colombia,FW,29-159,1997,Bayern Munich,1,1,89.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.01,1.01,2.02,1.01,2.02,2.0,1.0,50.0,2.02,1.01,0.5,1.0,89.0,98.9,89.0,0,0,,0,3.0,2.0,1.0,1.0,1.01,-88.99,0.0,0.0,5.0,1.0,2.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Luis Suárez,Colombia,Colombia,FW,28-201,1997,Sporting CP,1,1,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,79.0,87.8,79.0,0,0,,0,3.0,2.0,1.0,1.0,1.14,-7.04,0.0,0.0,3.0,1.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Richard Ríos,Colombia,Colombia,MF,26-019,2000,Benfica,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,11.0,12.2,,0,1,11.0,0,3.0,1.0,0.0,1.0,8.18,7.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Santiago Arias,Colombia,Colombia,"DF,MF",34-159,1992,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willer Ditta,Colombia,Colombia,DF,28-149,1998,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yerry Mina,Colombia,Colombia,DF,31-271,1994,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álvaro David Montero,Colombia,Colombia,GK,31-084,1995,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Tshibola,Congo DR,Congo DR,MF,31-170,1995,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Wan-Bissaka,Congo DR,Congo DR,DF,28-207,1997,West Ham,1,1,84.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,84.0,93.3,84.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Arthur Masuaku,Congo DR,Congo DR,DF,32-226,1993,Lens,1,1,74.0,0.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,1.22,0.0,1.22,0.0,0.0,,0.0,0.0,,,74.0,82.2,74.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Axel Tuanzebe,Congo DR,Congo DR,DF,28-219,1997,Burnley,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Brian Cipenga,Congo DR,Congo DR,MF,28-102,1998,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chancel Mbemba,Congo DR,Congo DR,DF,31-317,1994,Lille,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Charles Pickel,Congo DR,Congo DR,"DF,MF",29-037,1997,Espanyol,1,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,16.0,17.8,,0,1,16.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Cédric Bakambu,Congo DR,Congo DR,FW,35-071,1991,Real Betis,1,1,84.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.14,0.0,0.0,,84.0,93.3,84.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Dylan Batubinsika,Congo DR,Congo DR,DF,30-126,1996,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edo Kayembe,Congo DR,Congo DR,MF,28-018,1998,Watford,1,1,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.22,1.22,0.0,0.0,74.0,82.2,74.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Fiston Mayele,Congo DR,Congo DR,FW,31-362,1994,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaël Kakuta,Congo DR,Congo DR,"FW,MF",35-000,1991,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gédéon Kalulu,Congo DR,Congo DR,DF,28-296,1997,,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,6.0,6.7,,0,1,6.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Joris Kayembe,Congo DR,Congo DR,"DF,FW",31-317,1994,Genk,1,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,16.0,17.8,,0,1,16.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Lionel Mpasi,Congo DR,Congo DR,GK,31-324,1994,Le Havre,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,90.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Matthieu Epolo,Congo DR,Congo DR,GK,21-157,2005,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meschak Elia,Congo DR,Congo DR,"FW,MF",28-319,1997,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathanaël Mbuku,Congo DR,Congo DR,MF,24-097,2002,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngal'Ayel Mukau,Congo DR,Congo DR,MF,21-230,2004,Lille,1,1,56.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,56.0,62.2,56.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Noah Sadiki,Congo DR,Congo DR,MF,21-186,2004,Sunderland,1,0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,34.0,37.8,,0,1,34.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Samuel Moutoussamy,Congo DR,Congo DR,MF,29-313,1996,Atromitos,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,90.0,100.0,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Simon Banza,Congo DR,Congo DR,"FW,MF",29-312,1996,,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,6.0,6.7,,0,1,6.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Steve Kapuadi,Congo DR,Congo DR,DF,28-052,1998,Widzew Łódź,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,90.0,100.0,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Theo Bongonda,Congo DR,Congo DR,"FW,MF",30-213,1995,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timothy Fayulu,Congo DR,Congo DR,GK,26-332,1999,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoane Wissa,Congo DR,Congo DR,FW,29-291,1996,Newcastle,1,1,90.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,50.0,2.0,1.0,0.5,1.0,90.0,100.0,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Andrej Kramarić,Croatia,Croatia,"FW,MF",35-002,1991,Hoffenheim,1,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.92,0.0,0.0,,13.0,14.4,,0,1,13.0,0,0.0,0.0,1.0,-1.0,-6.92,-5.75,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ante Budimir,Croatia,Croatia,FW,34-334,1991,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominik Kotarski,Croatia,Croatia,GK,26-131,2000,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominik Livaković,Croatia,Croatia,GK,31-163,1995,Dinamo Zagreb,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,0.0,2.0,4.0,-2.0,-2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,90.0,4.0,4.0,10.0,7.0,70.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Duje Ćaleta-Car,Croatia,Croatia,DF,29-277,1996,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor Matanović,Croatia,Croatia,FW,23-082,2003,Freiburg,1,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,3.6,3.6,0.0,0.0,25.0,27.8,,0,1,25.0,0,0.0,0.0,1.0,-1.0,-3.6,-2.22,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ivan Perišić,Croatia,Croatia,MF,37-139,1989,PSV,1,1,90.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,0.0,2.0,4.0,-2.0,-2.0,,0.0,2.0,0.0,0.0,6.0,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ivor Pandur,Croatia,Croatia,GK,26-088,2000,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josip Stanišić,Croatia,Croatia,MF,26-080,2000,Bayern Munich,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,0.0,2.0,4.0,-2.0,-2.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Josip Šutalo,Croatia,Croatia,DF,26-113,2000,Ajax,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,90.0,100.0,90.0,1,0,,0,0.0,2.0,4.0,-2.0,-2.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Joško Gvardiol,Croatia,Croatia,DF,24-149,2002,Manchester City,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,90.0,100.0,90.0,1,0,,0,0.0,2.0,4.0,-2.0,-2.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Kristijan Jakić,Croatia,Croatia,"DF,MF",29-038,1997,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luka Modrić,Croatia,Croatia,MF,40-285,1985,Milan,1,1,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,57.0,63.3,57.0,0,0,,0,0.0,2.0,3.0,-1.0,-1.58,1.15,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Luka Sučić,Croatia,Croatia,"FW,MF",23-286,2002,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luka Vušković,Croatia,Croatia,DF,19-117,2007,Hamburger SV,1,1,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,65.0,72.2,65.0,0,0,,0,0.0,2.0,3.0,-1.0,-1.38,2.22,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Marco Pašalić,Croatia,Croatia,MF,25-280,2000,Orlando City,1,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,3.6,3.6,0.0,0.0,25.0,27.8,,0,1,25.0,0,0.0,0.0,1.0,-1.0,-3.6,-2.22,0.0,0.0,0.0,1.0,2.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Marin Pongračić,Croatia,Croatia,DF,28-283,1997,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Pašalić,Croatia,Croatia,MF,31-132,1995,Atalanta,1,1,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.17,0.0,0.0,,77.0,85.6,77.0,0,0,,0,0.0,2.0,3.0,-1.0,-1.17,5.75,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Martin Baturina,Croatia,Croatia,FW,23-125,2003,Como,1,1,77.0,0.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.17,0.0,1.17,1.17,1.17,1.0,1.0,100.0,1.17,1.17,1.0,1.0,77.0,85.6,77.0,0,0,,0,0.0,2.0,3.0,-1.0,-1.17,5.75,0.0,0.0,2.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Martin Erlić,Croatia,Croatia,DF,28-148,1998,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateo Kovačić,Croatia,Croatia,MF,32-046,1994,Manchester City,1,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,2.73,2.73,0.0,0.0,33.0,36.7,,0,1,33.0,0,0.0,0.0,1.0,-1.0,-2.73,-1.15,0.0,1.0,2.0,0.0,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Nikola Moro,Croatia,Croatia,MF,28-101,1998,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola Vlašić,Croatia,Croatia,"FW,MF",28-260,1997,Torino,1,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,13.0,14.4,,0,1,13.0,0,0.0,0.0,1.0,-1.0,-6.92,-5.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Petar Musa,Croatia,Croatia,FW,28-109,1998,FC Dallas,1,1,65.0,0.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.38,0.0,1.38,1.38,1.38,1.0,1.0,100.0,1.38,1.38,1.0,1.0,65.0,72.2,65.0,0,0,,0,0.0,2.0,3.0,-1.0,-1.38,2.22,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Petar Sučić,Croatia,Croatia,FW,22-239,2003,Inter,1,1,90.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,90.0,100.0,90.0,1,0,,0,0.0,2.0,4.0,-2.0,-2.0,,0.0,2.0,1.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Toni Fruk,Croatia,Croatia,"FW,MF",25-104,2001,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ar'jany Martha,Curaçao,Curaçao,"DF,FW",22-290,2003,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armando Obispo,Curaçao,Curaçao,DF,27-108,1999,PSV,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,2,0,,0,0.5,1.0,7.0,-6.0,-3.0,,0.0,0.0,0.0,1.0,0.0,4.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Brandley Kuwas,Curaçao,Curaçao,"FW,MF",33-275,1992,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deveron Fonville,Curaçao,Curaçao,DF,23-036,2003,NEC Nijmegen,2,2,165.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,83.0,91.7,83.0,1,0,,0,0.5,1.0,7.0,-6.0,-3.27,-3.27,0.0,1.0,3.0,0.0,0.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Eloy Room,Curaçao,Curaçao,GK,37-135,1989,Miami FC,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,2,0,,0,0.5,1.0,7.0,-6.0,-3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,2.0,180.0,7.0,3.5,25.0,19.0,76.0,0.0,1.0,1.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0
Gervane Kastaneer,Curaçao,Curaçao,"FW,MF",30-012,1996,,2,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,8.0,8.9,,0,2,8.0,0,0.5,0.0,1.0,-1.0,-5.63,-2.88,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Godfried Roemeratoe,Curaçao,Curaçao,MF,26-306,1999,RKC Waalwijk,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,7.0,3.9,,0,1,7.0,1,1.0,0.0,0.0,0.0,0.0,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Jearl Margaritha,Curaçao,Curaçao,"FW,MF",26-072,2000,Beveren,2,0,41.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2,0.0,0.0,,21.0,22.8,,0,2,21.0,0,0.5,0.0,3.0,-3.0,-6.59,-4.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Jeremy Antonisse,Curaçao,Curaçao,"FW,MF",24-084,2002,AE Kifisia,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,45.0,25.0,,0,1,45.0,1,0.0,0.0,4.0,-4.0,-8.0,-6.67,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Joshua Brenet,Curaçao,Curaçao,DF,32-093,1994,Kayserispor,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,50.0,90.0,1,0,,1,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
